[ Lord NP | (unknown) ]
[ thousand	CD | NUMBER]
[ seven	CD | NUMBER]
[ hundred	CD | NUMBER]
[ four	CD | NUMBER]
[ Gill Davis NP | PERSON ]
[ Mark NP | (unknown) ]
[ Royal Marines NP | (unknown) ]
[ Christopher Columbus NP | (unknown) ]
[ Mosquito NP | THING ]
[ Gill NP | PERSON ]
[ Gilbert NP | PERSON ]
[ Gill NP | THING ]
[ Gills NP | (unknown) ]
[ Snorridge Bottom NP | (unknown) ]
[ Chatham NP | (unknown) ]
[ Maidstone NP | (unknown) ]
[ Beadle NP | THING ]
[ Gills NP | PERSON ]
[ Christopher Columbus NP | (unknown) ]
[ Mosquito NP | THING ]
[ Gracious Majesty King George NP | (unknown) ]
[ England NP | (unknown) ]
[ Royal Marines NP | (unknown) ]
[ Snorridge Bottom NP | PERSON ]
[ Snorridge Bottom NP | (unknown) ]
[ South American Waters NP | PERSON ]
[ two	CD | NUMBER]
[ steady, NP | THING ]
[ Harry Charker NP | (unknown) ]
[ What? NP | PERSON ]
[ Island. NP | THING ]
[ O NP | (unknown) ]
[ Island! NP | THING ]
[ Island. NP | THING ]
[ Forgot NP | THING ]
[ odd, NP | (unknown) ]
[ odd, NP | PERSON ]
[ Gill? NP | PERSON ]
[ one	CD | NUMBER]
[ one	CD | NUMBER]
[ Quarter-master NP | PERSON ]
[ one	CD | NUMBER]
[ Duty NP | PERSON ]
[ Jamaica NP | LOCATION ]
[ Belize NP | (unknown) ]
[ West NP | (unknown) ]
[ North NP | (unknown) ]
[ Mosquito NP | THING ]
[ Belize NP | (unknown) ]
[ one	CD | NUMBER]
[ Caribbean Seas) NP | (unknown) ]
[ Belize NP | (unknown) ]
[ Port Royal NP | (unknown) ]
[ Jamaica NP | (unknown) ]
[ Island NP | THING ]
[ Belize NP | (unknown) ]
[ Island NP | THING ]
[ Silver-Store NP | THING ]
[ Honduras NP | LOCATION ]
[ Island NP | THING ]
[ Indians NP | THING ]
[ Store NP | (unknown) ]
[ Silver-Store NP | THING ]
[ Jamaica NP | (unknown) ]
[ Jamaica NP | THING ]
[ twenty	CD | NUMBER]
[ Linderwood NP | (unknown) ]
[ Belize NP | (unknown) ]
[ Store NP | (unknown) ]
[ Pirates NP | THING ]
[ Island NP | THING ]
[ one	CD | NUMBER]
[ Charker NP | (unknown) ]
[ Drooce NP | PERSON ]
[ Majesty's NP | (unknown) ]
[ Charker NP | (unknown) ]
[ Heavens NP | THING ]
[ one	CD | NUMBER]
[ Island NP | THING ]
[ one	CD | NUMBER]
[ Food NP | THING ]
[ Drug Administration NP | THING ]
[ four	CD | NUMBER]
[ Four Loko, NP | (unknown) ]
[ Moonshot, NP | (unknown) ]
[ Joose. NP | (unknown) ]
[ 2.50	CD | MONEY]
[ Four Loko NP | (unknown) ]
[ one	CD | NUMBER]
[ 2008	CD | TIME]
[ 13	CD | NUMBER]
[ Utah NP | (unknown) ]
[ Oklahoma NP | (unknown) ]
[ Washington NP | (unknown) ]
[ Michigan NP | (unknown) ]
[ Gil Kerlikowske NP | (unknown) ]
[ White House NP | (unknown) ]
[ FDA NP | THING ]
[ White House. NP | (unknown) ]
[ FDA NP | THING ]
[ Phusion Projects NP | (unknown) ]
[ Four Loko NP | THING ]
[ New York Democratic Sen NP | (unknown) ]
[ Charles Schumer NP | (unknown) ]
[ Four	CD | NUMBER]
[ Loko NP | (unknown) ]
[ Academy NP | THING ]
[ Emergency Medicine NP | THING ]
[ Red Bull NP | (unknown) ]
[ FDA NP | THING ]
[ Friday NP | (unknown) ]
